Year,State,Description,Units,type,Chemical Name,Value,CV (%),Carcinogen,Hormone Disruptor,Neurotoxins,Developmental or Reproductive Toxins,Bee Toxins,Human Toxins
2019,CALIFORNIA, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"300,277,717",33.1,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"1,384,016",30.4,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,170,8,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,"275,716,713",35.5,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"1,177,214",33.7,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, PROCESSING - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,15,39.7,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, PROCESSING - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,"24,561,004",68.3,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, PROCESSING - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"206,802",49.3,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"15,055,709",83.4,NA,NA,NA,NA,NA,NA
2019,FLORIDA, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"59,905",76.3,NA,NA,NA,NA,NA,NA
2019,FLORIDA, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,14,30.4,NA,NA,NA,NA,NA,NA
2019,FLORIDA, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,"15,055,709",83.4,NA,NA,NA,NA,NA,NA
2019,FLORIDA, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"59,905",76.3,NA,NA,NA,NA,NA,NA
2019,NEW YORK, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"644,155",42.2,NA,NA,NA,NA,NA,NA
2019,NEW YORK, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"2,260",32.6,NA,NA,NA,NA,NA,NA
2019,NEW YORK, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,34,28.7,NA,NA,NA,NA,NA,NA
2019,NEW YORK, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2019,NEW YORK, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2019,NEW YORK, PROCESSING - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,2,95,NA,NA,NA,NA,NA,NA
2019,NEW YORK, PROCESSING - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2019,NEW YORK, PROCESSING - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2019,NORTH CAROLINA, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"87,402",75.2,NA,NA,NA,NA,NA,NA
2019,NORTH CAROLINA, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,300,94.1,NA,NA,NA,NA,NA,NA
2019,NORTH CAROLINA, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,7,43.9,NA,NA,NA,NA,NA,NA
2019,NORTH CAROLINA, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,"87,402",75.2,NA,NA,NA,NA,NA,NA
2019,NORTH CAROLINA, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,300,94.1,NA,NA,NA,NA,NA,NA
2019,OREGON, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"1,728,809",(H),NA,NA,NA,NA,NA,NA
2019,OREGON, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"5,081",(H),NA,NA,NA,NA,NA,NA
2019,OREGON, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,19,39.8,NA,NA,NA,NA,NA,NA
2019,OREGON, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,"505,658",59.6,NA,NA,NA,NA,NA,NA
2019,OREGON, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"1,004",38.9,NA,NA,NA,NA,NA,NA
2019,OREGON, PROCESSING - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,3,(H),NA,NA,NA,NA,NA,NA
2019,OREGON, PROCESSING - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,"1,223,151",(H),NA,NA,NA,NA,NA,NA
2019,OREGON, PROCESSING - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"4,077",(H),NA,NA,NA,NA,NA,NA
2019,WASHINGTON, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"745,009",67.2,NA,NA,NA,NA,NA,NA
2019,WASHINGTON, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"2,428",78.4,NA,NA,NA,NA,NA,NA
2019,WASHINGTON, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,53,40.5,NA,NA,NA,NA,NA,NA
2019,WASHINGTON, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2019,WASHINGTON, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"2,404",79.4,NA,NA,NA,NA,NA,NA
2019,WASHINGTON, PROCESSING - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,6,89.2,NA,NA,NA,NA,NA,NA
2019,WASHINGTON, PROCESSING - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2019,WASHINGTON, PROCESSING - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,23,80.9,NA,NA,NA,NA,NA,NA
2016,CALIFORNIA, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"231,304,956",13.7,NA,NA,NA,NA,NA,NA
2016,CALIFORNIA, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"1,446,458",13.5,NA,NA,NA,NA,NA,NA
2016,CALIFORNIA, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,184,4.9,NA,NA,NA,NA,NA,NA
2016,CALIFORNIA, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,"211,553,703",13.5,NA,NA,NA,NA,NA,NA
2016,CALIFORNIA, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"1,221,571",12.9,NA,NA,NA,NA,NA,NA
2016,CALIFORNIA, PROCESSING - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,48,4.4,NA,NA,NA,NA,NA,NA
2016,CALIFORNIA, PROCESSING - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,"19,751,253",19.7,NA,NA,NA,NA,NA,NA
2016,CALIFORNIA, PROCESSING - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"224,886",21,NA,NA,NA,NA,NA,NA
2016,FLORIDA, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"2,455,805",21.9,NA,NA,NA,NA,NA,NA
2016,FLORIDA, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"14,532",23.1,NA,NA,NA,NA,NA,NA
2016,FLORIDA, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,9,14,NA,NA,NA,NA,NA,NA
2016,FLORIDA, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,FLORIDA, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,FLORIDA, PROCESSING - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,2,38.5,NA,NA,NA,NA,NA,NA
2016,FLORIDA, PROCESSING - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,FLORIDA, PROCESSING - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,NEW YORK, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"459,144",22.7,NA,NA,NA,NA,NA,NA
2016,NEW YORK, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"1,012",19.6,NA,NA,NA,NA,NA,NA
2016,NEW YORK, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,32,11.9,NA,NA,NA,NA,NA,NA
2016,NEW YORK, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,NEW YORK, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,NEW YORK, PROCESSING - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,1,(H),NA,NA,NA,NA,NA,NA
2016,NEW YORK, PROCESSING - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
