"Program","Year","Period","State","State ANSI","Strawberries","Items","Discription","Units","Status","Type","Chemicals Names","Number","Value","CV (%)"
1,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"174","8"
1,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"300,277,717","33.1"
1,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,384,016","30.4"
1,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"170","8"
1,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"275,716,713","35.5"
1,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,177,214","33.7"
1,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"15","39.7"
1,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"24,561,004","68.3"
1,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"206,802","49.3"
1,2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"14","30.4"
1,2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"15,055,709","83.4"
1,2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"59,905","76.3"
1,2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"14","30.4"
1,2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"15,055,709","83.4"
1,2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"59,905","76.3"
1,2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"36","27.3"
1,2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"644,155","42.2"
1,2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"2,260","32.6"
1,2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"34","28.7"
1,2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"2","95"
1,2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"7","43.9"
1,2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"87,402","75.2"
1,2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"300","94.1"
1,2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"7","43.9"
1,2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"87,402","75.2"
1,2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"300","94.1"
1,2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"21","42.5"
1,2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,728,809","(H)"
1,2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"5,081","(H)"
1,2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"19","39.8"
1,2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"505,658","59.6"
1,2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,004","38.9"
1,2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"3","(H)"
1,2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,223,151","(H)"
1,2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"4,077","(H)"
1,2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"57","40.1"
1,2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"745,009","67.2"
1,2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"2,428","78.4"
1,2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"53","40.5"
1,2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"2,404","79.4"
1,2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"6","89.2"
1,2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"23","80.9"
1,2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"189","4.7"
1,2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"231,304,956","13.7"
1,2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,446,458","13.5"
1,2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"184","4.9"
1,2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"211,553,703","13.5"
1,2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,221,571","12.9"
1,2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"48","4.4"
1,2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"19,751,253","19.7"
1,2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"224,886","21"
1,2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"9","13"
1,2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"2,455,805","21.9"
1,2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"14,532","23.1"
1,2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"9","14"
1,2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"2","38.5"
1,2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"32","11.9"
1,2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"459,144","22.7"
1,2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,012","19.6"
1,2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"32","11.9"
1,2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
