Program,Year,Period,State,State ANSI,Items,Discription,Units,Value,Title,Chemical Name,Number,CV (%),Carcinogen,Hormone Disruptor,Neurotoxins,Developmental or Reproductive Toxins,Bee Toxins,Human Toxins
CENSUS,2019,YEAR,CALIFORNIA,6, ORGANIC - OPERATIONS WITH SALES,NA,NA,174,ORGANIC STATUS,NOP USDA CERTIFIED,NA,8,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,CALIFORNIA,6, ORGANIC - SALES, MEASURED IN $,NA,"300,277,717",ORGANIC STATUS,NOP USDA CERTIFIED,NA,33.1,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,CALIFORNIA,6, ORGANIC - SALES, MEASURED IN CWT,NA,"1,384,016",ORGANIC STATUS,NOP USDA CERTIFIED,NA,30.4,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,CALIFORNIA,6, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,170,ORGANIC STATUS,NOP USDA CERTIFIED,NA,8,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,CALIFORNIA,6, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,"275,716,713",ORGANIC STATUS,NOP USDA CERTIFIED,NA,35.5,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,CALIFORNIA,6, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,"1,177,214",ORGANIC STATUS,NOP USDA CERTIFIED,NA,33.7,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,CALIFORNIA,6, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,15,ORGANIC STATUS,NOP USDA CERTIFIED,NA,39.7,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,CALIFORNIA,6, ORGANIC, PROCESSING - SALES, MEASURED IN $,"24,561,004",ORGANIC STATUS,NOP USDA CERTIFIED,NA,68.3,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,CALIFORNIA,6, ORGANIC, PROCESSING - SALES, MEASURED IN CWT,"206,802",ORGANIC STATUS,NOP USDA CERTIFIED,NA,49.3,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,FLORIDA,12, ORGANIC - OPERATIONS WITH SALES,NA,NA,14,ORGANIC STATUS,NOP USDA CERTIFIED,NA,30.4,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,FLORIDA,12, ORGANIC - SALES, MEASURED IN $,NA,"15,055,709",ORGANIC STATUS,NOP USDA CERTIFIED,NA,83.4,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,FLORIDA,12, ORGANIC - SALES, MEASURED IN CWT,NA,"59,905",ORGANIC STATUS,NOP USDA CERTIFIED,NA,76.3,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,FLORIDA,12, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,14,ORGANIC STATUS,NOP USDA CERTIFIED,NA,30.4,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,FLORIDA,12, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,"15,055,709",ORGANIC STATUS,NOP USDA CERTIFIED,NA,83.4,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,FLORIDA,12, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,"59,905",ORGANIC STATUS,NOP USDA CERTIFIED,NA,76.3,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NEW YORK,36, ORGANIC - OPERATIONS WITH SALES,NA,NA,36,ORGANIC STATUS,NOP USDA CERTIFIED,NA,27.3,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NEW YORK,36, ORGANIC - SALES, MEASURED IN $,NA,"644,155",ORGANIC STATUS,NOP USDA CERTIFIED,NA,42.2,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NEW YORK,36, ORGANIC - SALES, MEASURED IN CWT,NA,"2,260",ORGANIC STATUS,NOP USDA CERTIFIED,NA,32.6,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NEW YORK,36, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,34,ORGANIC STATUS,NOP USDA CERTIFIED,NA,28.7,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NEW YORK,36, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NEW YORK,36, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NEW YORK,36, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,2,ORGANIC STATUS,NOP USDA CERTIFIED,NA,95,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NEW YORK,36, ORGANIC, PROCESSING - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NEW YORK,36, ORGANIC, PROCESSING - SALES, MEASURED IN CWT,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NORTH CAROLINA,37, ORGANIC - OPERATIONS WITH SALES,NA,NA,7,ORGANIC STATUS,NOP USDA CERTIFIED,NA,43.9,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NORTH CAROLINA,37, ORGANIC - SALES, MEASURED IN $,NA,"87,402",ORGANIC STATUS,NOP USDA CERTIFIED,NA,75.2,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NORTH CAROLINA,37, ORGANIC - SALES, MEASURED IN CWT,NA,300,ORGANIC STATUS,NOP USDA CERTIFIED,NA,94.1,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NORTH CAROLINA,37, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,7,ORGANIC STATUS,NOP USDA CERTIFIED,NA,43.9,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NORTH CAROLINA,37, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,"87,402",ORGANIC STATUS,NOP USDA CERTIFIED,NA,75.2,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,NORTH CAROLINA,37, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,300,ORGANIC STATUS,NOP USDA CERTIFIED,NA,94.1,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,OREGON,41, ORGANIC - OPERATIONS WITH SALES,NA,NA,21,ORGANIC STATUS,NOP USDA CERTIFIED,NA,42.5,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,OREGON,41, ORGANIC - SALES, MEASURED IN $,NA,"1,728,809",ORGANIC STATUS,NOP USDA CERTIFIED,NA,(H),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,OREGON,41, ORGANIC - SALES, MEASURED IN CWT,NA,"5,081",ORGANIC STATUS,NOP USDA CERTIFIED,NA,(H),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,OREGON,41, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,19,ORGANIC STATUS,NOP USDA CERTIFIED,NA,39.8,NA,NA,NA,NA,NA,NA
