Program,Year,Period,State,State ANSI,Items,Discription,Units,dname,type,Title,Chemical Name,Number,Value,CV (%),Carcinogen,Hormone Disruptor,Neurotoxins,Developmental or Reproductive Toxins,Bee Toxins,Human Toxins
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",AZOXYSTROBIN, 128810,"5,500",NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",BOSCALID, 128008,"6,200",NA,possible,NA,NA,NA,NA,slight
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",CAPTAN, 81301,"283,500",NA,known,NA,NA,NA,NA,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",CYPRODINIL, 288202,"16,600",NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",FENHEXAMID, 90209,"15,000",NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",FLUDIOXONIL, 71503,"11,100",NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",MYCLOBUTANIL, 128857,"5,600",NA,NA,suspected,NA,present,NA,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PROPICONAZOLE, 122101,"1,600",NA,possible,suspected,NA,present,slight,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PYRACLOSTROBIN, 99100,"7,400",NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PYRIMETHANIL, 288201,"9,300",NA,possible,suspected,NA,NA,slight,moderate
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",TRIFLOXYSTROBIN, 129112,"4,200",NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",TRIFLUMIZOLE, 128879,"7,200",NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",ACETAMIPRID, 99050,"2,800",NA,NA,NA,NA,NA,moderate,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",BIFENAZATE, 586,"17,900",NA,NA,NA,NA,NA,moderate,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",BIFENTHRIN, 128825,"7,300",NA,possible,suspected,NA,present,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",CARBARYL, 56801,(D),NA,known,suspected,present,present,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",CHLORPYRIFOS, 59101,(D),NA,NA,suspected,present,NA,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",FENPROPATHRIN, 127901,"6,000",NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",HEXYTHIAZOX, 128849,"2,300",NA,probable,NA,NA,NA,NA,slight
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",IMIDACLOPRID, 129099,"3,500",NA,NA,NA,NA,NA,high,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",MALATHION, 57701,"56,700",NA,possible,suspected,present,NA,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",METHOXYFENOZIDE, 121027,"3,300",NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",PIPERONYL BUTOXIDE, 67501,"1,200",NA,possible,suspected,NA,NA,moderate,moderate
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",PYRIPROXYFEN, 129032,100,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",SPIROMESIFEN, 24875,"1,800",NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",THIAMETHOXAM, 60109,"1,400",NA,NA,NA,NA,NA,high,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",AZOXYSTROBIN, 128810,0.205,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",BOSCALID, 128008,0.337,NA,possible,NA,NA,NA,NA,slight
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",CAPTAN, 81301,1.739,NA,known,NA,NA,NA,NA,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",CYPRODINIL, 288202,0.32,NA,NA,NA,NA,NA,NA,NA
