"Year","State","State ANSI","Items","Discription","Units","Type","Pesticide","Number","Value","Carcinogen","Hormone Disruptor","Neurotoxins","Developmental or Reproductive Toxins","Bee Toxins"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","AZOXYSTROBIN",128810,"5,500",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","BOSCALID",128008,"6,200","possible",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","CAPTAN",81301,"283,500","known",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","CYPRODINIL",288202,"16,600",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","FENHEXAMID",90209,"15,000",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","FLUDIOXONIL",71503,"11,100",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","MYCLOBUTANIL",128857,"5,600",NA,"suspected",NA,"present",NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","PROPICONAZOLE",122101,"1,600","possible","suspected",NA,"present","slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","PYRACLOSTROBIN",99100,"7,400",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","PYRIMETHANIL",288201,"9,300","possible","suspected",NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","TRIFLOXYSTROBIN",129112,"4,200",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","TRIFLUMIZOLE",128879,"7,200",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","ACETAMIPRID",99050,"2,800",NA,NA,NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","BIFENAZATE",586,"17,900",NA,NA,NA,NA,"moderate"
